EmployeeNumber,CarrierCode,GroupNumber,ProductCode,ProductItemCode,CertNumber,CoverageAmount,AnnualizedPremium,EffectiveDate,OriginalEffectiveDate,Status,Status Date,AgentCode,AppDate,IssuedDate,RenewalDate,State,PaidToDate,Line of Business,Location of Enrollment,Source of Application,Enrollment Method,OutofForceStatus,Writing Agent SplitPercentage_1,WritingNumber_2,SplitPercentage_2,WritingNumber_3,SplitPercentage_3,WritingNumber_4,SplitPercentage_4,WritingNumber_5,SplitPercentage_5,WritingNumber_6,SplitPercentage_6,WritingNumber_7,SplitPercentage_7,WritingNumber_8,SplitPercentage_8,WritingNumber_9,SplitPercentage_9,WritingNumber_10,SplitPercentage_10,Commissionable Percentage,SigningAgentCode,BuyUpNumber,Product Item Type,TransmittalNumber,Takeover_Rollover,MigrationDate,Plan Design,
PER2010674507,2500,0000024879,AC,AG.AC.70.K.V.INAC.E.,0000001029,0.00###0.0,61.44,12012022,12012022,Active,12012022,1002,11082022,,12319999,OH,12312022###11302022,AC,OH,Paper,HR Enrolled,,0.0,GL894,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,65.0,1002,-1,Base Coverage,,None,2023-01-01 00:00:00.0,MP1,
PER2010674507,2500,0000024879,AC,AG.AC.70.K.V.AFCC.E.,0000001029,0.00###0.0,0.00###0.0,12012022,12012022,Active,12012022,1002,11082022,,12319999,OH,12312022###11302022,AC,OH,Paper,HR Enrolled,,0.0,GL894,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,65.0,1002,-1,Rider,,None,2023-01-01 00:00:00.0,MP1,
PER2010674507,2500,0000024879,AC,AG.AC.70.K.V.HOSC.E.,0000001029,0.00###0.0,0.00###0.0,12012022,12012022,Active,12012022,1002,11082022,,12319999,OH,12312022###11302022,AC,OH,Paper,HR Enrolled,,0.0,GL894,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,65.0,1002,-1,Rider,,None,2023-01-01 00:00:00.0,MP1,
PER2010674507,2500,0000024879,AC,AG.AC.70.K.V.LCEC.E.,0000001029,0.00###0.0,0.00###0.0,12012022,12012022,Active,12012022,1002,11082022,,12319999,OH,12312022###11302022,AC,OH,Paper,HR Enrolled,,0.0,GL894,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,65.0,1002,-1,Rider,,None,2023-01-01 00:00:00.0,MP1,
PER2010674507,2500,0000024879,AC,AG.AC.70.K.V.WELL.E.,0000001029,0.00###0.0,5.04,12012022,12012022,Active,12012022,1002,11082022,,12319999,OH,12312022###11302022,AC,OH,Paper,HR Enrolled,,0.0,GL894,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,65.0,1002,-1,Rider,,None,2023-01-01 00:00:00.0,MP1,
PER2010674507,2500,0000024879,HI,AG.HI.80.K.V.HOSC.E.,0000001029,0.00###0.0,53.28,12012022,12012022,Active,12012022,1002,11082022,,12319999,OH,12312022###11302022,HI,OH,Paper,HR Enrolled,,0.0,GL894,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,55.0,1002,-1,Base Coverage,,None,2023-01-01 00:00:00.0,MP1,
PER2010674310,2500,0000024879,AC,AG.AC.70.K.V.INAC.E.,0000000910,0.00###0.0,61.44,12012021,12012021,Active,12012021,1002,11082021,,12319999,GA,12312022###11302021,AC,GA,Paper,HR Enrolled,,0.0,GL894,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,65.0,1002,-1,Base Coverage,,None,2023-01-01 00:00:00.0,MP1,
PER2010674310,2500,0000024879,AC,AG.AC.70.K.V.AFCC.E.,0000000910,0.00###0.0,0.00###0.0,12012021,12012021,Active,12012021,1002,11082021,,12319999,GA,12312022###11302021,AC,GA,Paper,HR Enrolled,,0.0,GL894,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,65.0,1002,-1,Rider,,None,2023-01-01 00:00:00.0,MP1,
PER2010674310,2500,0000024879,AC,AG.AC.70.K.V.HOSC.E.,0000000910,0.00###0.0,0.00###0.0,12012021,12012021,Active,12012021,1002,11082021,,12319999,GA,12312022###11302021,AC,GA,Paper,HR Enrolled,,0.0,GL894,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,65.0,1002,-1,Rider,,None,2023-01-01 00:00:00.0,MP1,
PER2010674310,2500,0000024879,AC,AG.AC.70.K.V.LCEC.E.,0000000910,0.00###0.0,0.00###0.0,12012021,12012021,Active,12012021,1002,11082021,,12319999,GA,12312022###11302021,AC,GA,Paper,HR Enrolled,,0.0,GL894,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,65.0,1002,-1,Rider,,None,2023-01-01 00:00:00.0,MP1,
PER2010674310,2500,0000024879,AC,AG.AC.70.K.V.WELL.E.,0000000910,0.00###0.0,5.04,12012021,12012021,Active,12012021,1002,11082021,,12319999,GA,12312022###11302021,AC,GA,Paper,HR Enrolled,,0.0,GL894,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,65.0,1002,-1,Rider,,None,2023-01-01 00:00:00.0,MP1,
PER2010674310,2500,0000024879,CI,AG.CI.21.K.V.BASE.E.,0000000910,20000.00###20000.0,384.84,12012021,12012021,Active,12012021,1002,11082021,,12319999,GA,12312022###11302021,CI,GA,Paper,HR Enrolled,,0.0,GL894,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,70.0,1002,-1,Base Coverage,,None,2023-01-01 00:00:00.0,MP1,
